points;parameters;xmin;xmax;ymin;ymax
1000;[[[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[-0.41, -0.37, -0.13, 1.22, -0.08, 1.47, -1.44, 0.42, 0.13, 1.26], [-0.92, -0.38, -0.11, -0.47, 1.42, 0.65, -0.01, 0.76, 0.69, -1.01]]];-4.04;1.53;-3.51;0.72
1000;[[[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]], [[-0.41, -0.37, -0.13, 1.22, -0.08, 1.47, -1.44, 0.42, 0.13, 1.26], [-0.92, -0.38, -0.11, -0.47, 1.42, 0.65, -0.01, 0.76, 0.69, -1.01]]];-36.83;4.24;-3.44;11.82
1000;[[[-0.41, -0.37, -0.13, 1.22, -0.08, 1.47, -1.44, 0.42, 0.13, 1.26], [-0.92, -0.38, -0.11, -0.47, 1.42, 0.65, -0.01, 0.76, 0.69, -1.01]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]]];-0.87;3.13;-1.39;4.08
1000;[[[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[1.54, 0.01, -1.49, 0.65, -0.86, 0.75, -1.09, -0.26, -0.85, -1.5], [-0.77, -0.61, 0.43, 0.27, -0.02, 0.94, -0.15, 0.24, 1.84, -0.86]]];-1.01;1.77;-1.03;1.03
1000;[[[1.54, 0.01, -1.49, 0.65, -0.86, 0.75, -1.09, -0.26, -0.85, -1.5], [-0.77, -0.61, 0.43, 0.27, -0.02, 0.94, -0.15, 0.24, 1.84, -0.86]], [[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]]];-2.35;4.55;-5.86;2.34
1000;[[[1.54, 0.01, -1.49, 0.65, -0.86, 0.75, -1.09, -0.26, -0.85, -1.5], [-0.77, -0.61, 0.43, 0.27, -0.02, 0.94, -0.15, 0.24, 1.84, -0.86]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]]];-2.75;1.98;-5.07;2.34
500000;[[[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[-0.41, -0.37, -0.13, 1.22, -0.08, 1.47, -1.44, 0.42, 0.13, 1.26], [-0.92, -0.38, -0.11, -0.47, 1.42, 0.65, -0.01, 0.76, 0.69, -1.01]]];-4.07;1.56;-3.53;0.73
500000;[[[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[1.54, 0.01, -1.49, 0.65, -0.86, 0.75, -1.09, -0.26, -0.85, -1.5], [-0.77, -0.61, 0.43, 0.27, -0.02, 0.94, -0.15, 0.24, 1.84, -0.86]]];-1.07;1.77;-1.03;1.03
500000;[[[-0.41, -0.37, -0.13, 1.22, -0.08, 1.47, -1.44, 0.42, 0.13, 1.26], [-0.92, -0.38, -0.11, -0.47, 1.42, 0.65, -0.01, 0.76, 0.69, -1.01]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]]];-0.87;3.13;-1.39;4.1
500000;[[[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]], [[1.54, 0.01, -1.49, 0.65, -0.86, 0.75, -1.09, -0.26, -0.85, -1.5], [-0.77, -0.61, 0.43, 0.27, -0.02, 0.94, -0.15, 0.24, 1.84, -0.86]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]]];-2.46;1.77;-1.03;1.56
